chandler_dialogue,dialogues_since_last_chandler,intervening_dialogues
Hey.,10,"['Joey: What, what is it?', 'Mr. Treeger:: Can you be my dancing partner?', 'Joey: Thats not, prison lingo, is it?', '[Scene: Central Perk, Joey is telling Monica and Rachel what he has to do.]', 'Monica: His dancing partner?!', 'Joey: Yeah, theres this superintendents dance, the Super Ball. I dont know, and he wants to impress Marge, this lady super that hes a crush on.', 'Rachel: Well, why doesnt he practice with a girl?', 'Joey: Well, hes too shy, he doesnt thing hes good enough to dance with girls yet.', 'Rachel: Yeah, right, he almost danced me right down thatgarbage chute. (Starts to cry)', 'Monica: Oh, would you let it go already?! Youre fine!']"
"No, I almost did, couldnt leave Ross there without a spotter!",1,"['Rachel: Hey! So, did you quit?']"
"Were doomed. Okay, theyre gonna take 50 bucks out of our accounts for the rest of our lives. What are we gonna do?",3,"['Monica: Wait, now so you joined the gym?', 'Ross: And thats funny, why?', 'Rachel: Oh, umm, I was just yknow working out and umm Oh, thats it.']"
Youre a genius!,2,"['Monica: Well, you could actually go to the gym.', 'Ross: Or! Or, we could go to the bank, close our accounts and cut them off at the source.']"
"Now, theres two reasons.",1,"['Joey: Aww, man, now we wont be bank buddies!']"
"Thank you, Joey.",9,"['Phoebe: (entering) Hey.', 'All: Hey!', 'Phoebe: Ohh, you guys, remember that cute client I told you about? I bit him.', 'Rachel: Where?!', 'Phoebe: On the touchy.', 'Ross: And thats not against your oath?!', 'Phoebe: No, I know! I-Im sorry, but the moment I touch him, I just wanna throw out my old oath and take a new, dirty one.', 'Monica: Well, next time your massaging him, you should try and distract yourself.', 'Joey: Yeah! Yeah! Yeah! Like-like when Im doing something exciting and I dont wanna get too excited, I just ahh, yknow try to thing of other things like ah sandwiches, and ah baseball, and ah Chandler!']"
Hi.,10,"['Joey: No, Im not! And it wasnt a hop it was a pademarie.', 'Monica: (laughing harder) You know the words! You are so into this!', 'Joey: All right, well maybe Im enjoying it a little bit. I mean Im getting pretty good at it.', 'Rachel: Ooh, this is soo sweet, Joey our little twinkle-toes.', 'Joey: Hey-hey, hold on, this isnt some kind of like girly dance. All right, its like a sport, its manly!', 'Monica: All right, then show me some manly moves.', 'Joey: All right.', 'Joey: I dont know how to lead.', '[Scene: Ross and Chandlers bank, they are there to close their accounts.]', 'Ross: Hello.']"
"No, wed just like to close them.",3,"['Ross: Wed like to close our accounts.', 'Bank Officer: Close your accounts? Is there some kind of problem?', 'Ross: No-no.']"
I wanna quit the bank!,2,"['Bank Officer: Okay, Ms. Lambert handles all our closures. (to a beautiful woman) Would you come over here please?', 'Ms. Lambert: Hi, Im Karen.']"
To pay for the gym.,10,"['Mrs. Potter: Mr. Simons been waiting for(sees Phoebe and Rick) Oh my God!', 'Mr. Simon: Why wasnt I offered that? Id definitely pay more for that.', 'Mrs. Potter: Phoebe, we have rules here, this isnt that kind of place.', 'Phoebe: Oh yeah, oh and I know, but this isnt what it looks like, cause Rick is my ahh, husband.', 'Mrs. Potter: Oh really? Well, then youd better tell his other wife, cause she called three times asking where he is.', 'Phoebe: Yes, I will tell her.', ""[Scene: Monica and Rachel's, Chandler and Ross are telling Joey, Rachel, and Monica of their bank woes.]"", 'Monica: So you didnt leave the bank?', 'Ross: No! And somehow, we ended up with a joint checking account.', 'Rachel: What are you ever gonna use that for?!']"
Hey.,0,[]
Yeah Bunny-rabbit.,8,"['Phoebe: Hey! So I had a great day, Rick and I really hit it off, and we started making out, and then my boss walked in and fired me for being a whore.', 'Joey: What?!', 'Rachel: You got fired?!', 'Monica: Oh my Gosh!', 'Phoebe: Its so weird, I have never been fired from anything before!', 'Rachel: Sweety...', 'Phoebe: I just-I just started walking around not knowing what to do next, yknow? I-I started asking people on the street if they wanted massages. Then these policemen, thought I was a whore too. Its been a really bad day, whore wise.', 'Mr. Treeger:: Hey Duck, is Chick here?']"
"Ohh, she's pretty. Pretty ahh, pretty girl, the pretty--she's pretty.",10,"[""Ross: (picking up the slip of paper) Hello! What's this? Oh right its that girl's phone number. (Rachel ignores him) Yeah-yeah, there it is, just a phone number a really hot girl gave me. (He holds it so that Rachel can see it, she continues to ignore him) It's no big deal, I mean it is her home phone number, but...(Rachel still ignores him) Whoa! (Throws it in her lap) Whoa-whoops, I almost lost this baby! Yeah, the lovely Amanda gives me her number and I-I go and drop it. (He waves it in front of Rachel's face. Then suddenly Phoebe has to sneeze and Rachel quickly grabs the slip of paper and gives it to Phoebe for her to sneeze into.)"", 'Phoebe: Thank you.', '[Scene: Central Perk, the next morning. Chandler, Monica, Ross, and Rachel are there.]', 'Gunther: Rachel?', 'Rachel: Yeah?', ""Gunther: When's your birthday?"", 'Rachel: May fifth, why?', ""Gunther: Oh, I-I'm just making a list of people's birthdays."", ""Ross: Oh, mine's December..."", 'Gunther: Yeah, whatever. (Walks away)']"
I could die.,1,"[""Monica: Just go up to her and ask her out. (Chandler laughs) Oh, what's the worst thing that could happen?""]"
I tell people secrets. It makes them like me.,2,"[""Ross: Yeah, it's-it's tough being single. That's why I'm so glad I found Amanda."", ""Rachel: Ross, you guys went out once. You took your kids to Chucky Cheese, and you didn't even kiss her.""]"
Hey! (Phoebe sneezes),1,['Phoebe: (entering) Oh.']
"All right, I'm gonna do it! I'm gonna get shot down. Any advice?",2,"[""Monica: Phoebe! You're sick, you shouldn't play. You should just go home, get in bed, and stay there."", ""Phoebe: (in a nasally voice, from her cold) But I'm unemployed, my music is all I really have now. Well music, and making my own shoes. (She puts her shoe on the table, and it's horribly decorated) Pretty, huh? (Sneezes)""]"
(gets up) (softly) Wish me luck.,1,"['Monica: Just be yourself. But, not too much.']"
"Wish it! (To the woman, Kathy, he likes) Hi. Hi, I-I was just sitting over there, and uhh, Chandler. My name is Chandler. Did I say that?",1,['Ross: (loudly) Good luck!']
"Uh Kathy, with K or a C?",1,"[""Kathy: No, you didn't. Hi, I'm Kathy.""]"
Oh-oh-hey!,1,['Kathy: With a K.']
"Hey, come on, give me a break, I'm out on a limb here.",1,['Kathy: Wow! You are really good at this.']
"Hey! Hey, hey-hey, hey. (Joey kisses Kathy.)",2,"[""Kathy: I'm sorry, you're right, I apologize, but I should tell you that I'm waiting for a date. (Joey enters) Oh, and there he is now."", 'Joey: Hey!']"
"Yes-yes, I was just trying to figure out a way to uh, demonstrate how I could get my exceptionally large feet into my even bigger mouth.",1,"['Joey: Hey, I see you guys already met, huh?']"
(sees Kathy is up watching TV) Hi!,3,"[""Joey: Didn't I tell ya? Always showin' off."", ""Phoebe: Before I start, I just wanna say that umm, I have a cold, so if I sneeze in the middle of song, it's not on purpose. Oh, except the last verse of Pepper People. (Starts to sing) Smelly cat, smelly cat. What are they feeding you? (Stops singing) This chick sounds good. (Singing) Smelly cat, smelly--(stops singing) Hey Gunther, be a good little boy and bring me a whiskey."", ""[Scene: Chandler and Joey's, Chandler is walking into the living room having just gotten up in the middle of the night.]""]"
"Jeez, at 2:30 in the morning, I didn't expect to have to fight over the remote.",1,['Kathy: Hi.']
Oh my God! That's why I got up too!,1,"[""Kathy: I'm sorry, it's just this Ernie Cofax thing on in a few minutes I wanted to watch.""]"
"Hey, listen, I'm sorry about this afternoon, y'know, if I would've known you guys were... I never would've...",1,"[""Kathy: You're kidding! Oh, I love him.""]"
"So ah, Joey tells me you two met in acting class.",1,['Kathy: Oh please!']
"That's a good thing actually, because ah, he used to have me rehearse with him.",1,"['Kathy: Yeah, they teamed us up as partners. Joey picked three scenes for us to do; all of them had us making out.']"
Is it on?,1,['Kathy: (laughs) Oh-oh-oh-oh!']
Hey! (Runs over and gets his wonder broom),1,"['Kathy: No, but this wonder broom is amazing!']"
Oh! It's on! It's on!,1,['Kathy: Oh my God!']
There we go little fella.,0,[]
Well the duck can swim.,1,['Kathy: (laughs) What about the duck?']
"Oh yeah, me too, she's so cool and pretty.",10,"['All: Way to go, Phoebe!', 'Monica: That cold makes you sound so great.', ""Phoebe: It's fun, God I love how sexy I am. (Coughs really loudly.)"", ""Joey: Oh, Kath, we should get going. We're going to by hamsters."", ""All: Ooh, that's great, I love those little guys."", ""Kathy: No, no, it's not like that. I, I work for a medical researcher."", 'Rachel: Well, have fun!', 'Kathy: Okay.', ""Phoebe: Well, I think it's great that the medical community is finally trying to help sick hamsters."", ""Monica: Y'know what, I like Kathy.""]"
"She's smart and funny, y'know? We were up all last night talking, she said the funniest thing about--what?",1,"[""Rachel: Yeah, she's...""]"
"No, I don't.",1,['Rachel: You love her.']
"Thank you, Ross.",2,"['Phoebe: Yes, you do. Chandler loves Kathy.', 'Ross: Come on, Pheebs lay off him.']"
All right.,1,"[""Ross: Yeah, he's a little sensitive right now, `cause he's so in love.""]"
All right.,1,['All: Ohh!']
"Kathy! Kathy! Hi!! Kathy! Kathy! (She doesn't hear him and keeps running, Chandler starts chasing her as the theme to The Mod Squad starts to play. First, a car almost hits him and then gets mustard splashed on him as he runs by a hot dog vendor.) Kathy! (He keeps running and gets tangled up in the leashes of five dogs, in desperation he throws his paper.) Fetch! Fetch it! (He frees himself and resumes the chase) Kathy! Kathy! Kathy! (He now trips and falls into a pile of garbage, he tries to get up and scream her name again but he has a piece of spinach in his mouth. He gets out of the garbage and starts crossing the street by running over the hoods of a couple of cabs.) Kathy! (He jumps in front of her and out of breath he says) Kathy.",10,"['Ross: (she lets him in) Okay! (to her son) Hey Tommy.', 'Amanda: I am so glad that you could come over tonight.', ""Ross: Oh no-no-no, it's my pleasure."", 'Amanda: Okay, well, my cell phone number is right here on the counter, please help yourself to anything in the fridge.', 'Ross: What?', ""Amanda: I appreciate this soo much, I've been trying to go out with this guy for like a month."", 'Ross: I-I-I...', ""Amanda: (noticing the bottle of wine he has) Oh, I don't mean to be a square, but I'd really appreciate it if you wait and drink your wine after the kids are asleep? Oh uh, thanks for this, I hope I can do the same for you sometime. (She leaves)"", 'Ross: Who wants to make some long distance calls?', '[Scene: A street, Chandler is buying a newspaper and notices Kathy running by.]']"
"Oh, I just wanted to say, ""Hey!""",1,"['Kathy: Hey, Chandler! What are you doing here?']"
Okay. (He walks away disgusted with himself.),1,['Kathy: Hey!']
(entering) Okay. You were right. I'm in love with Joey's girlfriend.,6,"[""[Scene: Monica and Rachel's, Ross is telling Monica about his new baby sitting job.]"", ""Monica: Oh come on! You're making it sound worse than it actually was."", 'Ross: Her date tipped me ten dollars. (Monica laughs)', 'Ross: Pheebs, what are you doing?', ""Phoebe: Okay, I wanna be sexy again so I'm trying to catch a cold. It should be easy, supposedly they're pretty common."", ""Monica: Phoebe, you'll catch pneumonia.""]"
"I don't know. I can't--I just, I can't get her out of my head. Y'know? I mean, I'm a very bad person. I'm a very, very bad person. I'm a horrible person. (he waits for a reaction, when he doesn't get one) No you're not Chandler! We still love you Chandler!",3,"['Phoebe: What?!', 'Ross: Are you serious?', 'Phoebe: Well, how-how-how is that possible? You barely know her!']"
Really?!,4,"['Monica: (sneezes) Oh gosh, Phoebe, I think I caught your cold.', ""Phoebe: You mean you stole it! (Monica sneezes again) Don't cover your mouth when you do that!"", 'Joey: Hey.', 'Kathy: (to Chandler) We were just talking about you.']"
(laughs) Right in there!,1,"['Joey: Yeah-yeah, I told her about the time you got drunk and fell asleep with your head in the toilet.']"
"99...100! Ready or not, here I come! (He opens his eyes and sees that the chick and the duck are still sitting in front of him) All right, let's go over the concept one more time.",1,"[""[Scene: Chandler and Joey's, Chandler is playing Hide-and-Go-Seek with the chick and the duck.]""]"
Hey!,1,['Joey: (entering) Hey!']
"Ohh, umm, y'know what, I already ate.",1,"['Joey: Hey guys. (to Chandler) Listen uh, you wanna get some dinner with me and Kathy tonight?']"
"Y'know I had a big meal on Monday, y'know. So that's just gonna get me straight through the week.",1,"[""Joey: It's 4:30.""]"
You-you do?,1,"[""Joey: Okay, I see what's going on here.""]"
You got me.,1,"[""Joey: Yeah! You don't like Kathy.""]"
Yeah. Right.,1,"[""Joey: Yeah, you've been avoiding her ever since we started going out. Look, I made an effort to like Janice, now I think it's your turn to make an effort to like Kathy by going out to dinner with us. Right?""]"
Okay.,1,"[""Joey: Good, and hey! My treat. (He turns to go into his bedroom then stops.) But that's only because you're not eating anything, right?""]"
"Ohh, she's-she's not really my type.",10,"['Monica: What are you doing with those?!', 'Phoebe: But, I need your germs! I want my cold back! I miss my sexy voice.', 'Monica: Sorry, Phoebe.', ""Phoebe: It's okay. How's the soup?"", 'Monica: Umm. (nodding her head, ""Good."")', 'Monica: Ohhhh!! Gross!!', '[Scene: A nightclub, Chandler is having dinner with Kathy and Joey.]', ""Kathy: Ohh, God, guys, check it out, you can see that girl's underwear!"", 'Joey: Is she great or what?', 'Kathy: (to Chandler) So? Huh? What do you think?']"
Y'know what I think it is? It's the fishnet stockings. Y'know? Whenever I see a girl in fishnet stockings it reminds me of my father in fishnet stockings.,1,"[""Kathy: Not your type?! She's gorgeous!""]"
"Uhh, no-no thanks.",1,"[""Kathy: Okay. Understanding a little more why you're single. Ohh! Y'know, I have a friend you would like, she's really pretty. And then we could double date!""]"
"Listen, I-I'm gonna grab a beer. (Leaves)",1,"[""Kathy: Okay, I've got some ugly friends, and they're all available too.""]"
What?,1,"[""Joey: (to Kathy) I'll be right back. (to Chandler) What was that?""]"
"Hey, look, what do you want from me?",1,['Joey: Kathy was being really nice and you just walked away. I thought we had a deal.']
I am pretending.,1,"[""Joey: I want you to like her! But if that's too damned difficult for you, then the least you can do is pretend.""]"
"Okay, what do you saw I go over there and say how much I like her? (Joey gives him a thumbs up) No-no it'll be good, I can tell her much I've been thinking about her. That I haven't stopped thinking about her since the moment I met her. That I'm so fantastically, over-the-top, wanna-slit-my-own-throat in love with her, that for every minute of every hour of every day I can't believe my own damn bad luck that you met her first!!",1,"['Joey: Well then, do it better!']"
Can I sleep on your couch?,10,"['Ross: Here. (Hands her, her cough drops) (to Rachel) At least I made ten bucks in my relationship.', ""Rachel: Y'know..."", '[Scene: Central Perk, Phoebe is there with her guitar.]', 'Phoebe: (singing) Platting goats are platting. Platting down the street. Platting goats are platting, leaving little treats. (to Gunther) Does it even work without my sexy voice?', 'Gunther: I like it. (sneezes)', 'Phoebe: Gunther, kiss me.', 'Gunther: What?', ""[Scene: Chandler and Joey's, Chandler is watching TV as Joey and Kathy are laughing in Joey's bedroom. They get to be pretty loud so Chandler turns the TV way up.]"", ""Joey: (opening the door wearing nothing but a sock, and holding a dart board over the `Little General.') Hey! (Chandler turns down the TV) Now, we're not actually gonna be sleeping in her, but do you mind?"", ""[Scene: Monica and Rachel's, Monica, with a blanket draped over her shoulders, opens the door to a similarly clad Chandler.]""]"
Ross and the most beautiful girl in the world.,10,"[""Gunther: Well, we kissed. I-I-I didn't initiate the kiss, but-but I also didn't stop it, and I've been feeling guilty."", 'Rachel: (confused) Okay.', 'Gunther: So umm, are we cool?', 'Rachel: (really confused) Okay.', ""Gunther: I knew you'd understand."", 'Written by: Scott Silveri & Shana Goldberg-Meehan Transcribed by: Darcy & Julie Partridge', '[Scene: Central Perk, Ross and a beautiful blonde (Cheryl) are standing outside. The rest of the gang is watching from inside.]', 'Cheryl: So, thank you for the delicious dinner.', ""Ross: You're welcome for a delicious dinner."", 'Phoebe: Hey what are you guys looking at?']"
"Where did you, when did you, how did you... (Joey hits the back of Chandler's head) How did you get a girl like that?",3,"['Phoebe: Yeah, come to papa.', 'Ross: I know!', ""Monica: Probably the only time I'll ever say this, but did you see the ass on her?""]"
"Okay, but that's, like, the easiest era.",2,"['Rachel: Yeah, so what is she, like a... like a spokesmodel, or an aerobics instructor, what?', ""Ross: Actually she's a paleontology doctoral candidate, specializing in the centazoic era.""]"
Hi. You guys have any wrapping paper?,4,"[""Ross: I've seen her at work, but I always figured, ah-huh? But, uh, I made her dinner. We had a great time. And we're going out again tomorrow."", 'Rachel: Well maybe she and her friends are just having a contest to see who can bring home the biggest geek.', 'Ross: Fine by me; hope she wins.', ""[Scene: Monica and Rachel's. Ross, Rachel, and Phoebe are there. Chandler enters.]""]"
"Phebes, it was your birthday, like, months ago.",1,['Phoebe: Oo! Is it for my birthday present?']
"Well, I have a call in about that.",1,"[""Phoebe: Yeah, but remember you said you ordered something special, and it just hasn't come yet?""]"
"Actually, this is for Kathy's birthday. It's an early edition of her favorite book.",1,"[""Phoebe: 'Kay.""]"
"Okay, but don't touch it, because you fingers have destructive oils.",1,"[""Rachel: Oh, The Velveteen Rabbit! Oh my God, when the boy's love makes the rabbit real!""]"
"Oh, it wasn't a big deal. I just went to a couple of bookstores, talked to a couple of dealers... called a couple of the author's grandchildren.",1,"[""Rachel: Huh. Well, then you'd better keep it away from Ross's hair. So this is pretty rare. How did you get that?""]"
It doesn't say that. Does it?,2,"[""Rachel: Oh, honey, that's so sweet."", 'Phoebe: Yeah, and what a great way to say, ""I secretly love you, roommate\'s girlfriend!""']"
"Okay, all right, I'll just uh, make sure that uh, Joey gets her something really great.",1,"[""Ross: How do you think it's gonna look when you get her something incredibly meaningful and expensive and her boyfriend Joey gives her an orange?""]"
"It's okay, the duck's using our bathroom anyway. (Kathy goes into the bathroom.) Hey Joe! What are you getting Kathy for her birthday?",10,"[""Phoebe: Okay! It's worth it, if it will get you moving. You haven't worked in months."", ""Monica: Well, you're not working either."", ""Phoebe: Yes, but I'm doing this."", ""Monica: Yeah, that'd be great! Thank you!"", 'Joey: Hey!', 'Everyone: Hey.', 'Kathy: Can I borrow the keys to your apartment?', 'Joey: Why?', 'Joey: You can pee here!', 'Kathy: Ahahaha... haha.. yes I can, of course. Excuse me.']"
(confused) Sure...,10,"[""Monica: No, that's not mine."", 'Phoebe: Oh, all right. Oh! Look what we almost took!', ""Monica: Excuse me, Mrs. Burkart? Well, we're all cleaned up in the kitchen."", 'Mrs. Burkart: Oh, good. Thank you.', ""Monica: Um, and, well there's the.. the the small matter of..."", 'Mrs. Burkart: Dear?', 'Monica: Just the matter of ...payment?', 'Mrs. Burkart: (in grief) Jack used to handle the finances! (Breaks into tears)', ""[Scene: Monica and Rachel's, Rachel is on the couch still doing the crossword. Chandler is in the kitchen.]"", 'Rachel: You know what we should all do? Go see a musical.']"
"I don't know... um, Grease?",1,['Rachel: And you know which one we should see? The 1996 Tony award winner. Do you happen to know the name of that one?']
Rent?,1,['Rachel: No....']
"Okay, so when do you want to go?",1,['Rachel: Yes! Rent!']
"Yes, it is, at Office Max.",2,"[""Rachel: What? Oh, I'm sorry, I can't, I'm busy."", 'Joey: (entering the apartment) Hey. Man, it is so hard to shop for girls.']"
A pen.,1,['Rachel: What did you get her? (Joey opens up a rectangular black box and holds up a pen.)']
Huh-huh! You can't give her that.,1,"[""Joey: It's two gifts in one. It's a pen that's also a clock! Huh?""]"
Because she's not eleven! And it's not the seventh night of Hanukkah!,1,['Joey: Why not?']
"All right, look, look. What did... what did you get for Angela Delveccio for her birthday?",2,"[""Rachel: Okay, honey, what he means by that, is ...while this is a very nice gift, maybe it's just not something a boyfriend gives?"", 'Joey: Sure it is! She needs a pen for work, she\'s writing, she turns it over.... ""Whoa! It\'s time for my date with Joey!""']"
For three years?,1,"[""Joey: She didn't have a birthday while we were going out.""]"
"All right. I will go out and I will try to find something for her, okay?",1,"[""Joey: (whining and heading toward the door) Look, it's too late, and I got an audition. I can't shop anymore! I...""]"
Would you like me to write her a little poem as well?,1,"[""Joey: Thanks, man. And oh, while you're at it, could you get her a card?""]"
"Okay, all right. I just spent the entire afternoon looking for a present for Kathy that would be better than the rabbit.",10,"['Joey: You wanna see her again, right?', 'Ross: Yeah.', ""Joey: So you're gonna have to do it in the mess!"", ""Ross: Yeah, okay you're right."", 'Joey: Yeah.', 'Ross: I mean, uh, who... who cares about a little sloppiness?', 'Joey: Yeah!', ""Ross: It's, uh... it's endearing, really."", 'Joey: All right! Now you go get that beautiful pig! (Ross hesitates, looks unsure) Oink!', '[Scene: Monica and Rachel, Rachel is there, Chandler enters.]']"
"Oh, yeah. Yeah, I found this great place called ""Invisible things for Kathy."" (Motions to an imaginary pile of presents next to him.) Can you give me a hand with all this stuff?",1,['Rachel: Any luck?']
"She's really going to love this, you know? The bottom line is I want her to have it, even if I don't get to be the one who gives it to her.",1,"[""Rachel: All right, look. Why don't you just return the book, let Joey give her the clock pen, and you give her something worse than that. Like... a regular pen.""]"
Yeah? You don't think it's just pathetic?,1,"[""Rachel: Aw, honey, that's so sweet.""]"
Where?,2,"['Rachel: Oh! Pathetic! (Grabs the crossword puzzle and starts writing.)', ""Joey: (entering) Hey! I'm meeting Kathy in ten minutes! I've been looking all over for you!""]"
"I got something for her. (Joey picks up the package, shakes it next to his ear, can't hear anything, switches ears, shakes it again.) It's a book!",1,"['Joey: Our place, the hall! I...']"
"No, it's a book that's just a book, okay? It's an early edition of the Velveteen Rabbit. It was her favorite book as a kid. So, uh, just... let me know if she likes it, okay?",1,"[""Joey: (Unimpressed) A book? (Suddenly interested) Is it like a book that's also a safe?""]"
"No, it came out to an even twenty.",1,"[""Joey: You got it. Thanks man. Thanks for doing this, I owe you one. (Joey leaves, comes back in.) Oh, hey! There wasn't any change from that twenty, was there?""]"
"Hey, how'd it go? How'd she like the gift?",10,"[""Phoebe: Yeah. I'm a hard ass."", ""Monica: And I'm a wuss. And we should be partners."", 'Phoebe: Yeah. Hard Ass and Wuss. We could fight crime!', ""Monica: Wait a minute, Phoebe! We should be partners. We should be catering partners. I mean, think about it! You're not working right now, and we have such a great time together!"", 'Phoebe: Okay!', 'Monica: I can cook and you can take care of the money.', ""Phoebe: Yeah. Oh! It'll be like I have a wife in the fifties!"", 'Both: (screaming with excitement) Aah!', ""[Scene: Chandler and Joey's, Chandler is there, Joey enters.]"", 'Joey: Hey!']"
Oh yeah? That's great!,1,"[""Joey: Oh, man, she loved it! She's over there showing Monica and Rachel right now.""]"
"[nodding, with mixed feelings] Aahhuuhhh....",1,"['Joey: Hey, listen, I gotta tell ya, I feel kinda bad taking credit for this, because man, am I gonna get a lot of credit for this!']"
Hey! Happy birthday.,2,"['Kathy: Hey.', 'Joey: Hey!']"
No he didn't. [Moving it back.],2,"['Kathy: Thank you!', 'Joey: You know, uh... [Joey moves the pen case out onto the counter.] Chandler got you a gift, too.']"
Happy birthday! I'm sorry.,1,"[""Joey: Yeah, he did, look... look, it's right there on the counter! Ha-ho-ho!""]"
"See, you think it's just a pen, but then you turn it over and it's also a clock.",1,"[""Kathy: You really didn't have to. (Opens the box) Wow.""]"
"Oh, yeah... yeah.",1,"['Kathy: Yeah. No, this is great. Thank you, Chandler. (They hug).']"
[to Kathy] Goodnight.,3,"['Joey: Ah. Hm. (To Kathy) Wanna go to bed?', ""Kathy: I'll be in in a minute."", ""Joey: Oh, uh... don't forget your coupon. (Tries to strike a sexy pose up against the doorway to his room. Then goes inside).""]"
"Oh, uh, yeah... I just knew that sometimes when you're writing, you... you don't always know the exact time.",1,"['Kathy: Um, thank you for the gift.']"
"Uh, the book?",1,"[""Kathy: No, I... I didn't mean the pen. Thank you for the book.""]"
What do you mean?,1,['Kathy: The Velveteen Rabbit. I kinda have the feeling you had something to do with it.']
"(tongue-tied) Uhl..ell. By the way, in case you missed that, that sound was, ""Uhl, ell.""",1,"['Kathy: Well, uh, when Joey gave it to me, he said, ""This is \'cause I know ya like Rabbits, and I know ya like cheese."" Thanks. I love it. And I know how hard it must have been for you to find.']"
"Oh, yeah, he's my... he's my best friend.",1,['Kathy: You must really like... Joey... to go to all that trouble for him.']
Goodnight. (Goes to his room.),1,['Kathy: Well....']
(entering in a bathrobe) I just walked in the bathroom and saw Kathy naked! It was like torture!,8,"['Joey: (opening bedroom door) Hey, that coupon expires, you know.', ""[Scene: Outside Cheryl's apartment, Monica knocks on Cheryl's door]"", ""Monica: Hi. Uh, you... you don't know me, I'm Monica Geller... Ross's sister."", ""Cheryl: Oh, yeah. Oh, you know, that's too bad that didn't work out."", ""Monica: Yeah. Anyway, he told me about your apartment. And, um, I couldn't sleep, thinking about it. So, uh, would it be okay if I cleaned it?"", 'Monica: No?', 'Written by: Adam Chase Transcribed by: Eric Aasen', ""[Scene: Monica and Rachel's, everyone except Joey and Chandler are there eating breakfast.]""]"
"It just keeps getting worse and worse! Y'know? I mean its bad enough that Im in love with my roommates girlfriendwhich by the way, I think she knows. Because every time were in the room together theres this weird like energy between us. And call me crazy, but I think she likes me too. And now I have seen her naked. I mean at least when Ive seen her with clothes on, I could imagine her body was like covered in boles or something. But there are no boles, shes smooth! Smooth! (leaves)",1,"[""Ross: Y'know if we ever go to war and youre captured, youre in for a big surprise.""]"
(rushing up) Hey-Hey-Hey! Who was that?,6,"['Phoebe: Wow! Could everyone totally see up his robe?', 'All: Yeah! Oh my God!', '[Scene: Central Perk, Joey is getting a phone number from a woman (Casey) as Chandler watches from the doorway.]', 'Casey: Here you go.', 'Joey: Great! All right, so Ill call you later.', 'Casey: Great! (leaves)']"
"Goin out, huh? Wow! Wow! (Does a little celebration dance) So things didnt work out with Kathy, huh? Bummer.",1,['Joey: That would be Casey. Were going out tonight.']
(shocked) What?,1,"['Joey: No, things are fine with Kathy. Im having a late dinner with her tonight, right after my early dinner with Casey.']"
Wait! Youre going out with Kathy!,1,['Joey: Yeah-yeah. And the craziest thing is that I just ate a whole pizza by myself! (Laughs)']
"Well, Im upsetfor you. I mean, having sex with an endless line of beautiful women must be very unfulfilling for you. (He cant believe he just sad that.)",1,['Joey: Yeah. Why are you getting so upset?']
"Look, Joey, Kathy is clearly not fulfilling your emotional needs. But Casey, I mean granted I only saw the back of her head, but I got this sense that shes-shes smart, and funny, and gets you.",1,['Joey: What is the big deal? Its not like were exclusive.']
"All right look, I think its time for you to settle down. Y'know? Make a choice, pick a lane.",1,['Joey: You got all that from the back of her head?']
"All right! Bring it on, you",10,"['Ross: Yeah, just a little in high school, but then I really got into it in college. I mean thats-thats when I really found my sound.', 'Monica: Oh God! Orange juice just came out of my nose, but it was totally worth it. Oh my God, I completely forgot about your sound.', 'Ross: Yeah.', 'Monica: He used to lock himself in the basement for hours. No one was every allowed to hear, ""The Sound.""', 'Phoebe: I wanna hear ""The Sound.""', 'Ross: Really? No. I mean, nah, I havent played in so long, and-and, well its-its really personal stuff, yknow?', 'Phoebe: Come on, play that funky music white boy.', 'Monica: Yeah!', 'Ross: No, you guys, I mean my keyboards are all the way up inNo, yeah, okay. (Runs out.)', 'Ross: Okay, guys.']"
(interrupting) Oh my God! Play!,1,"['Ross: Here we go. (Plays one note) Yknow, Ive-Ive never played my stuff for anyone before, so its important that-that you understand its about communicating very private emotions. (Plays another note) Yknow, umm, you should-you should think of umm, my work as wordless sound poems. Thats what Im']"
"Really, bitchin!",1,"['Monica: (At a loss for words) Boy, that was-that was, umm terrific.']"
"You mean like, music?",7,"['Phoebe: Wow, it was sowow!', 'Ross: Really?! I mean, really?!!', 'Rachel: Yeah, I mean, you should play in public!', 'Ross: Wow! Thanks, you guys. Thats uhohhh, I wanna, I wanna play you another piece! Umm! Uh-oh! I left my uh, helicopter sounds on another disk. Ill be right back! Okay? (Runs to fetch them) This is so nice, ImI am so (starts to break up and leaves)', 'Monica: Oh God bless my dad sound proofing the basement!', 'Rachel: Oh, I cant believe I ever let him touch me with those fingers.', 'Phoebe: What are you guys talking about, I loved it! It was soo moving. Oh, plus its just, its so different from the stuff you usually hear.']"
"Yeah, I know what youre thinkin! Yes, yes, your breasts are just as firm and juicy.",1,"[""[Scene: Chandler and Joey's, Chandler is watching Yasmein Bleeth running on TV, and the duck starts quacking.]""]"
Come in!,0,[]
"Uh yes, but uh, I just watch it for the articles.",1,"['Kathy: (entering) Hey! (sees whats on TV) Oh God, is that Baywatch?']"
"No-no, hes not back yet, but hell be here any minute. So uh, come on in. Have a seat. Bow or stern?",1,['Kathy: So is Joey around?']
"I like it in the stern. (Realizes what he just said.) of the boat. (The phone rings, and he answers it.) (on phone) Hello.",1,"['Kathy: I uh, dont really have a preference. You?']"
